specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
1,146.62282,-0.95138526,266,51630,10,0.3711277,6.93721E-005,8.586898,1.658584,0.07207418
2,146.92403,-0.10514302,266,51630,34,0.3275724,8.634971E-005,6.947747,1.800281,0.08974978
3,147.08969,-0.26650926,266,51630,39,0.3829364,0.0001026071,6.18289,3.234667,0.2009822
4,146.89733,-0.18636779,266,51630,76,0.370904,0.0001274981,5.27108,1.759968,0.1303106
5,146.07916,-1.1580268,266,51630,89,0.3507902,8.248531E-005,9.504927,1.953904,0.06736315
6,146.01189,-0.97522919,266,51630,91,0.3740553,8.602985E-005,7.233912,2.028241,0.1054585
7,146.26033,-0.94079185,266,51630,96,0.384653,0.0001139746,5.190619,1.815259,0.1694408
8,145.98911,-0.61503643,266,51630,139,0.335078,9.275007E-005,6.167806,2.05268,0.1305715
9,146.47181,-0.32044988,266,51630,145,0.3661692,0.0001474819,5.007545,2.143891,0.1792134
10,145.81742,-0.094309636,266,51630,194,0.3458818,7.780716E-005,8.167826,1.903925,0.07673013
11,145.8013,-1.0741946,266,51630,201,0.3835985,0.0001049274,5.977261,1.782064,0.1077103
12,145.61421,-0.86576193,266,51630,210,0.3456734,7.10982E-005,8.098427,1.833197,0.07007894
13,145.55032,0.0094953996,266,51630,263,0.3363668,7.92014E-005,7.544929,1.970508,0.101321
14,145.49979,-0.430594,266,51630,269,0.3662392,0.000075469,9.712458,2.507525,0.1069499
15,145.29141,-0.86035856,266,51630,288,0.3694264,0.0001333823,5.185286,2.021553,0.1570886
16,145.31208,-0.40076564,266,51630,315,0.3368229,7.819846E-005,7.024423,1.977043,0.09365903
17,145.29315,0.30617839,266,51630,352,0.3226696,6.990685E-005,10.44451,2.035002,0.07484369
18,145.53343,0.72985508,266,51630,384,0.3582156,0.0001394132,5.451816,1.915146,0.1342443
19,146.72474,0.65004519,266,51630,548,0.3121489,5.738068E-005,10.13763,1.905872,0.07964635
20,146.6873,0.86093703,266,51630,579,0.3354825,0.0001115264,5.840476,2.287044,0.1751436
21,147.02282,0.66094747,266,51630,584,0.3129872,6.785981E-005,8.990008,1.96717,0.08623342
22,146.86054,0.52471508,266,51630,586,0.3384775,0.0001230823,5.031324,1.965846,0.1426321
23,146.80985,1.0727752,266,51630,604,0.2994555,5.998155E-005,10.34285,2.198458,0.08881534
24,146.94866,1.0045674,266,51630,610,0.3351803,8.46419E-005,7.308331,1.94343,0.09589049
25,147.3296,0.32443263,266,51630,631,0.365943,9.996971E-005,7.498561,2.628547,0.1506492
26,148.62082,-1.1087992,267,51608,16,0.3715443,0.0001011386,8.218982,2.001822,0.1095552
27,148.60658,-0.92868782,267,51608,19,0.3583607,5.880005E-005,12.10401,1.912753,0.05247538
28,148.54758,-1.0880765,267,51608,44,0.37413,0.0001054705,6.051899,1.934844,0.1312426
29,148.13724,-1.1731878,267,51608,121,0.3273709,0.000069832,10.06269,1.974362,0.06701769
30,148.05021,-0.086273806,267,51608,184,0.3271964,9.373525E-005,8.104863,1.855507,0.07226246
31,147.8615,-0.26639602,267,51608,185,0.3713124,0.000081069,6.858731,1.937482,0.09775034
32,147.63101,-1.1331063,267,51608,201,0.3369062,8.003361E-005,9.200503,1.801569,0.06384089
33,147.68812,-0.061740106,267,51608,237,0.3268483,6.598022E-005,9.363252,1.855808,0.05946475
34,147.86304,-0.40424782,267,51608,240,0.3224198,7.858892E-005,9.288439,1.923166,0.06604233
35,147.45883,-0.32263375,267,51608,262,0.3700915,9.747635E-005,6.514686,1.859809,0.1686691
36,147.46847,-0.45818737,267,51608,269,0.328609,7.387318E-005,8.463959,1.886151,0.07113624
37,147.57061,-0.43424172,267,51608,276,0.3598874,0.0001146803,7.383084,1.755563,0.07886186
38,147.32443,0.66098239,267,51608,342,0.3656408,0.0001066972,5.07728,1.924959,0.1152162
39,147.51757,0.45016298,267,51608,387,0.3155796,8.519249E-005,9.440312,1.914165,0.07208037
40,147.88701,0.78927231,267,51608,406,0.3628585,8.326822E-005,8.528558,1.924484,0.07872321
41,147.79689,0.77265689,267,51608,415,0.3265534,0.0001026672,6.55248,2.128611,0.1332487
