    plate ID    MJD  fiber ID   2.5 percentile of likelihood distribution of stellar metallicity  16 percentile  median of likelihood distribution of stellar metallicity (log Z)  84 percentile  97.5 percentile  mode of the distribution  The index (starting at 0) into the SDSS data files

   266  51630    1    -1.7763    -1.6485    -1.5748    -1.4369    -1.3331    -1.6138       0
   266  51630    2   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000       1
   266  51630    4    -2.3435    -2.1449    -1.9556    -1.7450    -1.5070    -1.9268       2
   266  51630    6   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000       3
   266  51630    7    -2.0255    -1.7940    -1.6002    -1.4318    -1.3381    -1.4949       4
   266  51630    9    -1.3942    -1.3711    -1.3307    -1.3272    -1.3218    -1.3258       5
   266  51630   10    -2.2184    -2.0600    -1.8900    -1.7110    -1.4765    -1.9831       6
   266  51630   11    -1.6950    -1.5942    -1.4973    -1.4084    -1.3115    -1.4072       7
   266  51630   12    -2.2834    -1.8743    -1.5377    -1.3596    -1.3104    -1.3634       8
   266  51630   13    -2.3251    -2.1132    -1.8470    -1.6081    -1.4147    -1.7327       9
   266  51630   14    -2.0971    -1.7560    -1.4797    -1.3445    -1.3059    -1.3008      10
   266  51630   16    -2.2895    -2.0053    -1.6838    -1.4246    -1.3224    -1.5637      11
   266  51630   17    -2.7260    -2.4913    -2.1819    -1.8149    -1.4375    -2.0332      12
   266  51630   18   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      13
   266  51630   19    -1.5309    -1.4535    -1.3961    -1.3309    -1.3206    -1.3759      14
   266  51630   20    -2.2837    -2.1957    -2.0750    -1.9246    -1.7176    -2.1522      15
   266  51630   22    -2.3473    -1.9982    -1.7153    -1.4792    -1.3385    -1.6075      16
   266  51630   23    -1.6347    -1.5026    -1.3961    -1.3203    -1.3036    -1.3133      17
   266  51630   24    -2.0728    -1.8833    -1.6624    -1.4687    -1.3312    -1.6263      18
   266  51630   25    -1.6309    -1.4803    -1.3780    -1.3245    -1.3036    -1.3196      19
   266  51630   27    -3.0777    -2.7621    -2.4186    -1.9818    -1.5275    -2.6029      20
   266  51630   28   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      21
   266  51630   30    -2.4171    -1.9783    -1.6153    -1.3997    -1.3145    -1.3133      22
   266  51630   33    -1.9092    -1.7944    -1.6459    -1.4962    -1.3544    -1.7140      23
   266  51630   34    -1.9514    -1.7306    -1.5349    -1.3783    -1.3186    -1.5011      24
   266  51630   35    -1.9396    -1.6802    -1.4736    -1.3490    -1.3109    -1.3258      25
   266  51630   36    -2.2236    -2.0806    -1.9186    -1.7347    -1.5378    -1.9205      26
   266  51630   39    -2.1165    -1.8096    -1.5851    -1.3855    -1.3189    -1.6514      27
   266  51630   40   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      28
   266  51630   41    -2.8054    -2.5683    -2.3116    -2.0047    -1.6141    -2.3149      29
   266  51630   42    -2.2827    -2.1387    -1.9850    -1.7811    -1.6037    -1.9456      30
   266  51630   44    -2.6085    -2.2434    -1.6291    -1.3846    -1.3181    -1.3759      31
   266  51630   45    -1.8944    -1.7484    -1.6340    -1.5202    -1.3711    -1.6326      32
   266  51630   47    -1.6092    -1.5568    -1.4981    -1.3731    -1.3525    -1.5387      33
   266  51630   50    -2.3816    -2.1872    -2.0081    -1.7794    -1.5421    -2.0144      34
   266  51630   51    -2.2081    -2.0546    -1.8933    -1.6996    -1.4916    -1.9080      35
   266  51630   52    -1.9622    -1.8716    -1.7561    -1.6669    -1.5625    -1.7515      36
   266  51630   54    -2.8053    -2.3823    -1.4326    -1.3402    -1.3078    -1.3384      37
   266  51630   55    -2.7229    -2.5297    -2.2954    -2.0630    -1.8055    -2.3587      38
   266  51630   59    -2.3108    -1.8856    -1.5499    -1.3725    -1.3144    -1.3196      39
   266  51630   60    -1.7672    -1.6626    -1.5502    -1.4280    -1.3052    -1.5449      40
   266  51630   61    -2.1233    -1.8922    -1.6205    -1.4344    -1.3391    -1.5637      41
   266  51630   62    -1.9247    -1.7610    -1.5940    -1.4188    -1.3190    -1.6263      42
   266  51630   65   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      43
   266  51630   66    -2.8852    -2.6065    -2.2890    -1.8918    -1.4541    -2.3525      44
   266  51630   67    -3.1751    -2.7984    -2.2873    -1.7334    -1.3931    -2.3337      45
   266  51630   69    -2.8145    -2.3990    -2.0279    -1.6679    -1.3929    -2.0144      46
   266  51630   70    -1.8915    -1.6939    -1.5210    -1.3942    -1.3228    -1.4823      47
   266  51630   71    -2.1462    -1.7065    -1.4599    -1.3455    -1.3095    -1.4323      48
   266  51630   72   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      49
   266  51630   73    -2.9542    -2.7303    -2.3622    -1.8717    -1.4435    -2.1835      50
   266  51630   74    -2.5560    -2.2763    -1.9678    -1.6354    -1.3885    -2.0019      51
   266  51630   75    -2.9851    -2.8268    -2.6315    -2.3544    -1.9959    -2.7156      52
   266  51630   76    -1.9589    -1.8176    -1.6440    -1.4711    -1.3532    -1.6514      53
   266  51630   77    -1.6677    -1.4948    -1.3827    -1.3304    -1.3079    -1.3446      54
   266  51630   78   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000   -99.0000      55
   266  51630   79    -1.8435    -1.6899    -1.5746    -1.4786    -1.3208    -1.5637      56
