specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
1,146.62282,-0.95138526,266,51630,10,0.3711277,6.93721E-005,8.586898,1.658584,0.07207418
2,146.92403,-0.10514302,266,51630,34,0.3275724,8.634971E-005,6.947747,1.800281,0.08974978
3,147.08969,-0.26650926,266,51630,39,0.3829364,0.0001026071,6.18289,3.234667,0.2009822
4,146.89733,-0.18636779,266,51630,76,0.370904,0.0001274981,5.27108,1.759968,0.1303106
5,146.07916,-1.1580268,266,51630,89,0.3507902,8.248531E-005,9.504927,1.953904,0.06736315
6,146.01189,-0.97522919,266,51630,91,0.3740553,8.602985E-005,7.233912,2.028241,0.1054585
7,146.26033,-0.94079185,266,51630,96,0.384653,0.0001139746,5.190619,1.815259,0.1694408
8,145.98911,-0.61503643,266,51630,139,0.335078,9.275007E-005,6.167806,2.05268,0.1305715
9,146.47181,-0.32044988,266,51630,145,0.3661692,0.0001474819,5.007545,2.143891,0.1792134
10,145.81742,-0.094309636,266,51630,194,0.3458818,7.780716E-005,8.167826,1.903925,0.07673013
11,145.8013,-1.0741946,266,51630,201,0.3835985,0.0001049274,5.977261,1.782064,0.1077103
12,145.61421,-0.86576193,266,51630,210,0.3456734,7.10982E-005,8.098427,1.833197,0.07007894
